model: rbf, C: 5, gamma: 2,  pre1: [0], pre2: [0], acc: 0.9034662691017518
model: rbf, C: 5, gamma: 3,  pre1: [0], pre2: [0], acc: 0.9064480059634737
model: rbf, C: 5, gamma: 4,  pre1: [0], pre2: [0], acc: 0.9142750652254938
model: rbf, C: 5, gamma: 5,  pre1: [1], pre2: [1], acc: 0.9004845322400298
model: rbf, C: 5, gamma: 6,  pre1: [0], pre2: [0], acc: 0.8986209467014536
model: rbf, C: 5, gamma: 7,  pre1: [0], pre2: [0], acc: 0.9012299664554603
model: rbf, C: 5, gamma: 8,  pre1: [0], pre2: [0], acc: 0.9105478941483414
model: rbf, C: 5, gamma: 9,  pre1: [0], pre2: [0], acc: 0.9001118151323145
model: rbf, C: 10, gamma: 1,  pre1: [0], pre2: [0], acc: 0.905329854640328
model: rbf, C: 10, gamma: 2,  pre1: [1], pre2: [0], acc: 0.9004845322400298
model: rbf, C: 10, gamma: 3,  pre1: [0], pre2: [0], acc: 0.9153932165486396
model: rbf, C: 10, gamma: 4,  pre1: [0], pre2: [0], acc: 0.9071934401789042
model: rbf, C: 10, gamma: 5,  pre1: [0], pre2: [0], acc: 0.9034662691017518
model: rbf, C: 10, gamma: 6,  pre1: [0], pre2: [0], acc: 0.9079388743943347
model: rbf, C: 10, gamma: 7,  pre1: [0], pre2: [0], acc: 0.9012299664554603
model: rbf, C: 10, gamma: 8,  pre1: [0], pre2: [0], acc: 0.9094297428251957
model: rbf, C: 10, gamma: 9,  pre1: [0], pre2: [0], acc: 0.90831159150205
model: rbf, C: 50, gamma: 1,  pre1: [0], pre2: [0], acc: 0.9060752888557585
model: rbf, C: 50, gamma: 2,  pre1: [0], pre2: [0], acc: 0.9016026835631755
model: rbf, C: 50, gamma: 3,  pre1: [0], pre2: [0], acc: 0.9198658218412226
model: rbf, C: 50, gamma: 4,  pre1: [0], pre2: [0], acc: 0.905329854640328
model: rbf, C: 50, gamma: 5,  pre1: [0], pre2: [0], acc: 0.8971300782705927
model: rbf, C: 50, gamma: 6,  pre1: [0], pre2: [0], acc: 0.9012299664554603
model: rbf, C: 50, gamma: 7,  pre1: [0], pre2: [0], acc: 0.902348117778606
model: rbf, C: 50, gamma: 8,  pre1: [0], pre2: [0], acc: 0.9153932165486396
model: rbf, C: 50, gamma: 9,  pre1: [0], pre2: [0], acc: 0.9090570257174805
model: rbf, C: 100, gamma: 1,  pre1: [1], pre2: [0], acc: 0.9030935519940365
model: rbf, C: 100, gamma: 2,  pre1: [1], pre2: [0], acc: 0.9019754006708908
model: rbf, C: 100, gamma: 3,  pre1: [0], pre2: [0], acc: 0.9019754006708908
model: rbf, C: 100, gamma: 4,  pre1: [0], pre2: [0], acc: 0.8937756243011554
model: rbf, C: 100, gamma: 5,  pre1: [0], pre2: [0], acc: 0.9027208348863213
model: rbf, C: 100, gamma: 6,  pre1: [0], pre2: [0], acc: 0.9105478941483414
model: rbf, C: 100, gamma: 7,  pre1: [0], pre2: [0], acc: 0.9098024599329109
model: rbf, C: 100, gamma: 8,  pre1: [0], pre2: [0], acc: 0.9135296310100633
model: rbf, C: 100, gamma: 9,  pre1: [0], pre2: [0], acc: 0.9086843086097652
model: rbf, C: 1024, gamma: 1,  pre1: [0], pre2: [0], acc: 0.8967573611628774
model: rbf, C: 1024, gamma: 2,  pre1: [0], pre2: [0], acc: 0.9019754006708908
model: rbf, C: 1024, gamma: 3,  pre1: [0], pre2: [0], acc: 0.9071934401789042
model: rbf, C: 1024, gamma: 4,  pre1: [0], pre2: [0], acc: 0.8971300782705927
model: rbf, C: 1024, gamma: 5,  pre1: [0], pre2: [0], acc: 0.9034662691017518
model: rbf, C: 1024, gamma: 6,  pre1: [0], pre2: [0], acc: 0.9001118151323145
model: rbf, C: 1024, gamma: 7,  pre1: [0], pre2: [0], acc: 0.9057025717480433
model: rbf, C: 1024, gamma: 8,  pre1: [0], pre2: [0], acc: 0.9071934401789042
model: rbf, C: 1024, gamma: 9,  pre1: [0], pre2: [0], acc: 0.905329854640328
model: rbf, C: 32768, gamma: 1,  pre1: [0], pre2: [0], acc: 0.9139023481177786
model: rbf, C: 32768, gamma: 2,  pre1: [1], pre2: [1], acc: 0.8978755124860232
model: rbf, C: 32768, gamma: 3,  pre1: [0], pre2: [0], acc: 0.9064480059634737
model: rbf, C: 32768, gamma: 4,  pre1: [0], pre2: [0], acc: 0.9071934401789042
model: rbf, C: 32768, gamma: 5,  pre1: [0], pre2: [0], acc: 0.8948937756243012
model: rbf, C: 32768, gamma: 6,  pre1: [0], pre2: [0], acc: 0.903838986209467
model: rbf, C: 32768, gamma: 7,  pre1: [1], pre2: [0], acc: 0.9064480059634737
model: rbf, C: 32768, gamma: 8,  pre1: [0], pre2: [0], acc: 0.9001118151323145
model: rbf, C: 32768, gamma: 9,  pre1: [0], pre2: [0], acc: 0.8978755124860232
model: sigmoid, pre1: [1], pre2: [0], acc: 0.5780842340663437
